"K","theta","p","psi","nSamples","Index"
2,0.06,0.15,1,5,1
4,0.06,0.15,1,5,2
8,0.06,0.15,1,5,3
16,0.06,0.15,1,5,4
2,0.24,0.15,1,5,5
4,0.24,0.15,1,5,6
8,0.24,0.15,1,5,7
16,0.24,0.15,1,5,8
2,0.42,0.15,1,5,9
4,0.42,0.15,1,5,10
8,0.42,0.15,1,5,11
16,0.42,0.15,1,5,12
2,0.76,0.15,1,5,13
4,0.76,0.15,1,5,14
8,0.76,0.15,1,5,15
16,0.76,0.15,1,5,16
2,0.06,0.3,1,5,17
4,0.06,0.3,1,5,18
8,0.06,0.3,1,5,19
16,0.06,0.3,1,5,20
2,0.24,0.3,1,5,21
4,0.24,0.3,1,5,22
8,0.24,0.3,1,5,23
16,0.24,0.3,1,5,24
2,0.42,0.3,1,5,25
4,0.42,0.3,1,5,26
8,0.42,0.3,1,5,27
16,0.42,0.3,1,5,28
2,0.76,0.3,1,5,29
4,0.76,0.3,1,5,30
8,0.76,0.3,1,5,31
16,0.76,0.3,1,5,32
2,0.06,0.35,1,5,33
4,0.06,0.35,1,5,34
8,0.06,0.35,1,5,35
16,0.06,0.35,1,5,36
2,0.24,0.35,1,5,37
4,0.24,0.35,1,5,38
8,0.24,0.35,1,5,39
16,0.24,0.35,1,5,40
2,0.42,0.35,1,5,41
4,0.42,0.35,1,5,42
8,0.42,0.35,1,5,43
16,0.42,0.35,1,5,44
2,0.76,0.35,1,5,45
4,0.76,0.35,1,5,46
8,0.76,0.35,1,5,47
16,0.76,0.35,1,5,48
2,0.06,0.4,1,5,49
4,0.06,0.4,1,5,50
8,0.06,0.4,1,5,51
16,0.06,0.4,1,5,52
2,0.24,0.4,1,5,53
4,0.24,0.4,1,5,54
8,0.24,0.4,1,5,55
16,0.24,0.4,1,5,56
2,0.42,0.4,1,5,57
4,0.42,0.4,1,5,58
8,0.42,0.4,1,5,59
16,0.42,0.4,1,5,60
2,0.76,0.4,1,5,61
4,0.76,0.4,1,5,62
8,0.76,0.4,1,5,63
16,0.76,0.4,1,5,64
2,0.06,0.75,1,5,65
4,0.06,0.75,1,5,66
8,0.06,0.75,1,5,67
16,0.06,0.75,1,5,68
2,0.24,0.75,1,5,69
4,0.24,0.75,1,5,70
8,0.24,0.75,1,5,71
